word,var0_embeddings,var1_embeddings,var2_embeddings,var3_embeddings
scene,16,25,24,1
Turner,16,17,25,27
Calif.,3,30,12,29
closes,22,5,27,5
view,7,25,18,2
bourse,23,16,24,26
wounds,21,21,2,13
investigating,12,1,19,21
millions,23,25,2,5
voted,3,5,19,14
project,18,25,1,5
Metro,30,20,29,25
Taylor,19,29,13,28
Tommi,20,2,1,20
RALLY,20,12,19,30
victim,10,8,27,30
SUPER,24,31,28,11
Warrington,22,13,8,23
TITLE,9,5,18,15
county,3,0,2,1
successive,27,0,24,23
b-@,4,12,28,30
Match,18,21,1,13
abandoned,13,25,27,21
Gough,31,15,4,10
Dundee,16,28,26,19
Ross,28,29,1,23
Norwich,29,20,8,21
Bromwich,9,2,5,9
Ipswich,22,20,8,19
Reading,13,20,8,23
Southend,14,13,8,9
Stoke,22,9,14,18
Swindon,22,20,14,18
Wolverhampton,16,20,14,23
Plymouth,9,20,18,6
Spartak,26,20,8,16
Lodz,21,18,5,4
KOREAN,26,1,26,0
Smicer,23,24,4,28
Bordeaux,16,20,21,21
Strasbourg,16,20,8,12
Caen,7,18,8,23
Cannes,11,20,14,16
Kerkrade,30,30,5,29
VfB,19,19,8,19
Duisburg,8,18,29,4
whom,11,21,7,13
flights,2,0,7,13
Public,3,13,14,21
Civil,26,28,20,21
inflation,18,21,28,13
Zaire,10,30,12,9
Eritrea,10,14,30,19
leadership,12,21,18,1
consensus,13,5,27,2
sentenced,8,8,2,30
judicial,16,21,28,13
grenades,27,21,2,13
Basque,6,9,11,12
separatist,27,5,27,1
turn,5,23,19,2
scandal,23,25,2,1
managed,27,5,7,2
Just,24,5,2,3
Bratislava,12,19,29,29
margin,11,27,27,13
witnesses,10,27,19,21
Business,3,0,7,2
defending,23,5,7,1
Eriksson,17,17,25,27
placings,27,4,2,26
Graham,31,15,4,10
Yoshikawa,16,3,5,20
Corser,16,15,4,20
Ducati,30,20,21,23
Slight,16,15,4,28
BUCHAREST,10,14,30,6
contact,8,31,24,30
relief,23,25,2,21
ITALIAN,14,21,8,28
FROM,12,4,19,31
Ronald,11,29,1,25
Club,9,19,5,22
About,11,1,2,21
MEXICO,18,14,12,29
status,23,27,2,13
names,0,27,6,13
employee,27,27,18,13
demanding,12,1,2,2
decisions,8,4,24,3
fraud,10,25,27,21
Juppe,27,24,4,28
grain,12,5,2,1
Gilbertson,30,23,4,20
considering,20,25,24,2
adding,28,5,23,26
Treasury,9,18,26,19
crude,27,23,2,27
SK,19,13,2,16
cement,23,25,6,5
Maleeva,23,23,4,20
Seles,30,17,13,28
tough,13,5,7,3
debut,12,31,23,13
Braves,9,29,29,12
@w,22,5,2,1
@nb,13,13,7,1
ballot,7,5,28,26
administration,3,25,18,1
thin,12,0,18,13
husband,10,23,23,27
limit,23,16,27,5
Hashimoto,23,24,17,28
gunman,1,21,27,13
Petroleum,24,26,5,30
contracts,11,5,7,5
liquidity,23,22,28,13
unknown,20,27,2,21
moved,11,5,18,13
A@,26,14,5,15
Midwest,21,19,12,6
Reeve,23,24,4,28
abortion,23,25,1,5
Oklahoma,20,18,22,29
information,23,27,19,13
Board,19,26,4,29
unable,20,25,7,14
Cozma,27,15,4,10
removed,13,27,18,13
kilometre,3,27,18,15
Mapei,19,20,21,18
McEwen,16,24,20,10
Capiot,16,15,1,28
Collstrop,14,16,8,18
Faulding,30,20,8,23
product,23,25,18,23
Kelly,16,15,20,27
electoral,12,5,18,31
representatives,24,25,6,5
candidate,22,21,2,5
Gajdos,31,15,4,22
Chg,27,21,7,31
dn,3,5,2,5
prompted,23,27,2,13
n.a,18,5,24,3
@-mth,27,17,24,13
acquisition,9,5,27,27
landed,3,0,2,15
Latest,7,31,7,13
CSU,5,26,5,2
SPD,29,9,8,18
FDP,16,9,18,18
Greens,7,9,8,23
PDS,19,9,8,21
Emnid,19,18,8,21
Elect,24,29,21,4
Res,28,26,5,2
announce,20,27,2,13
shut,6,5,24,5
Serbian,14,14,8,0
Jayasuriya,24,15,25,28
Arch,3,29,8,18
Oct,0,25,6,1
SER,27,21,18,2
Bhutto,20,17,4,18
BOJ,13,29,21,18
nomination,23,5,27,2
Ballanger,23,17,4,27
Yassin,23,29,27,20
consumers,22,25,28,5
scientific,22,21,27,9
veterinary,9,16,24,1
containing,0,1,2,11
efforts,11,8,19,31
FRANKFURT,10,30,30,7
bureau,5,0,7,30
Costas,23,23,26,20
snap,23,16,23,2
Dimitris,24,10,1,24
Kontogiannis,0,15,25,27
storm,12,23,7,21
Damascus,16,14,12,9
Peace,8,28,27,6
confirm,9,27,28,13
true,10,21,7,21
pursuit,13,0,2,26
Kurds,14,9,20,0
strikes,23,16,2,4
U.S.-led,23,14,8,11
riyal,26,5,2,26
kingdom,13,22,27,27
affairs,29,27,7,2
Allenby,12,24,11,24
helicopter,27,21,1,13
Taleban,13,9,28,0
DUBAI,12,9,21,9
Afghanistan,0,14,30,9
possibly,28,25,2,13
militia,13,21,1,13
Kabul,11,14,21,9
controlled,21,27,2,5
crew,13,27,23,26
attempts,3,5,1,21
meets,27,0,18,3
sanctions,0,5,1,2
presidency,27,16,27,15
fair,2,25,27,1
Parliament,10,21,19,13
beef,20,5,2,3
bullish,10,5,2,13
mean,23,25,18,5
RESEARCH,22,25,28,1
ALERT,22,1,24,27
@-month,12,19,2,13
estimate,23,25,28,1
Thousands,22,21,28,26
except,3,27,24,3
lift,1,25,6,5
monthly,19,5,19,13
experts,11,25,2,2
SERIES,13,1,5,24
Brooks,28,10,4,0
Phil,20,2,1,20
Els,16,29,4,28
Brad,21,2,1,20
Stadler,23,9,13,19
La,17,7,20,4
aimed,23,0,2,5
disappointed,13,27,18,27
sterling,13,21,1,1
TOSHIBA,20,21,8,11
CLASSIC,11,9,21,0
CARLSBAD,10,10,12,29
Toshiba,14,14,8,28
Naoko,11,29,1,8
Kimiko,24,23,16,20
Wang,31,29,4,10
Hamlet,25,31,19,22
Joyce,21,24,9,28
Karol,11,29,27,23
Kucera,16,12,25,11
let,9,25,19,5
Close,10,27,23,1
V.,11,29,1,24
Trent,17,14,21,24
Moxon,30,28,25,19
SCOTTISH,23,14,30,0
Ferguson,23,15,13,28
served,23,16,18,13
successful,11,5,19,13
lunch,23,27,24,5
Mikael,31,23,1,24
MaliVai,11,29,1,20
Cedric,21,2,26,23
Korda,16,15,4,10
TIRANA,18,14,12,17
Winners,26,28,5,24
Chemlon,26,20,16,23
Humenne,26,18,4,19
Lithuania,18,14,30,9
Nyva,29,21,26,25
Vaduz,21,14,12,9
Hearts,16,20,8,18
determined,10,25,2,31
U.S,20,14,12,9
Fleurian,23,22,4,20
Stefan,23,29,1,25
Edberg,16,24,4,20
Agassi,23,23,4,20
Kim,19,24,11,10
Nicolas,24,2,1,20
Stephane,20,29,1,20
Andy,20,2,1,20
Johnny,11,2,27,20
Cleveland,9,7,14,18
opportunity,16,5,19,2
row,5,4,24,13
Key,9,12,25,27
bases,8,1,7,13
loaded,7,21,27,2
walk,8,25,7,31
Detroit,9,19,21,7
kick,23,23,7,2
Nilis,16,23,4,27
clearly,8,5,27,21
@-man,1,24,23,1
prix,26,5,7,27
ever,27,5,27,21
golf,10,4,18,13
Broadhurst,10,12,13,16
Eales,16,26,25,11
Marcus,11,23,26,20
SOFIA,13,30,21,9
Romanian,20,13,8,16
OFFICIAL,14,20,18,4
contents,23,5,2,13
Journal,6,7,26,4
certain,13,5,19,15
community,8,25,28,30
continues,11,25,15,27
reserve,9,22,24,26
District,10,12,7,4
resolution,21,0,6,21
Newsdesk,9,18,4,4
review,27,5,27,21
div,20,5,7,1
distribution,23,27,18,21
Best,26,13,29,4
delivered,11,25,2,11
baby,16,25,2,13
normal,23,5,19,4
brokers,22,1,6,5
active,3,22,25,1
begins,11,21,19,1
unfortunate,4,5,7,30
first-round,7,25,7,4
@th-ranked,12,25,19,26
difference,26,5,18,13
fought,8,1,19,3
Anyang,11,18,8,19
Puchon,5,7,8,18
Suwon,14,29,8,21
P,19,0,5,30
Chonan,14,7,26,19
Nigerian,31,14,30,0
veteran,23,27,2,5
Johannesburg,10,14,12,9
flow,20,25,27,21
Budapest,12,14,12,19
die,3,31,2,3
clash,24,5,24,1
command,3,27,2,1
letters,23,0,18,13
threatening,23,22,7,11
railway,18,23,28,5
rising,18,22,2,1
Kremlin,26,30,12,9
two-day,12,1,24,13
Under,2,27,24,2
taxes,12,8,19,31
briefly,5,4,25,15
BOGOTA,10,14,0,9
BUENOS,10,30,0,12
AIRES,21,19,26,16
cold,13,5,2,1
Buenos,16,9,29,17
Aires,30,22,4,9
propaganda,23,25,19,13
By,27,25,5,13
activities,10,25,18,17
custody,3,5,2,2
attempted,11,25,2,21
Despite,23,25,7,2
baht,13,5,18,1
Canberra,9,16,21,25
Information,30,19,4,4
confidence,13,16,7,26
opinion,18,1,27,27
Istanbul,13,24,21,9
militants,24,5,27,13
shed,12,27,24,1
profit-taking,0,27,15,13
@-share,12,26,2,1
Of,27,25,27,2
alleged,10,0,2,13
Kevorkian,11,29,1,0
room,11,4,7,1
Patricia,11,2,6,20
Smith,16,15,4,20
illness,10,21,7,13
abuse,10,1,7,13
judge,4,1,2,21
complex,22,5,2,13
satisfied,24,25,18,30
monitors,14,5,2,1
Algerian,26,21,8,20
TOTAL,10,25,2,13
Fax,3,27,7,26
Ballybunion,11,20,8,6
Bonn,16,14,30,9
promised,0,5,1,1
signing,12,27,7,5
carried,7,21,2,26
Treaty,14,26,5,19
weapon,12,16,2,30
DHAKA,10,26,30,29
complained,3,5,6,21
seriously,23,16,19,30
edged,12,31,27,27
turnover,23,21,28,1
taka,13,5,6,31
Bombay,25,11,11,16
alone,3,25,18,13
elect,10,25,19,13
failing,9,5,28,4
age,23,5,7,13
Dublin,16,7,29,25
Analysts,9,25,24,2
magazines,18,25,19,21
NZ,21,26,3,19
Wellington,10,30,30,9
escape,10,21,2,15
prevent,23,1,18,27
ACTUAL,23,0,18,13
YEAR-AGO,23,27,2,5
maximum,22,21,18,13
factors,23,27,27,27
....,27,25,2,21
Dow,5,11,8,0
Nikkei,13,19,30,11
various,23,0,2,13
critics,10,25,27,21
Goldman,19,13,8,7
De,24,17,10,14
MOTOR,7,27,2,14
Gerhard,21,2,26,23
Villeneuve,28,26,25,28
Hakkinen,28,26,25,27
Alesi,0,24,22,31
Damon,29,2,1,0
Olivier,31,2,1,20
[,27,5,23,26
],22,5,19,3
Karina,11,2,16,24
Habsudova,29,28,4,28
Stirling,9,18,14,19
Fairbrother,23,17,13,6
quarter-finals,13,5,7,13
pretty,3,5,6,13
means,22,25,1,30
Lindsay,31,2,1,8
Davenport,23,15,25,6
AS,7,5,19,31
faced,22,28,19,2
Thompson,16,24,4,24
personal,10,0,2,15
Sporting,30,20,8,6
restored,9,21,7,21
clocked,10,4,6,2
capacity,23,16,2,13
Zurich,26,18,29,19
@.@.@,1,16,18,26
Cea,16,26,2,11
Dennis,11,2,26,24
present,24,25,19,13
medallist,8,8,2,3
seemed,23,25,18,13
stepped,12,31,7,11
Freeman,14,12,2,31
Lopez,23,24,25,28
Irina,24,2,26,20
Sarah,31,2,1,25
Joseph,11,2,16,20
Wellman,18,26,29,0
Anton,31,24,1,25
special,26,5,24,1
Klinsmann,14,24,5,28
Legia,19,7,8,6
SRI,18,30,16,29
LANKA,27,17,14,16
shr,16,1,28,5
Bureau,19,7,14,4
affected,27,27,27,13
Research,6,0,5,4
holding,0,25,27,5
My,24,31,19,30
Maybe,23,27,18,2
Jewish,13,14,8,10
promoted,26,25,2,30
hearing,23,25,7,21
Trafford,21,13,12,27
Rwandan,13,14,8,0
nearby,3,5,1,1
assets,22,5,27,26
separatists,13,0,2,1
regular,8,25,24,21
riots,13,27,7,13
streets,11,27,2,13
stabbed,20,1,2,13
none,23,0,2,13
monitoring,12,25,27,21
Dan,20,15,1,20
corn,10,21,2,26
concerned,30,25,19,15
politics,8,21,2,14
published,13,16,27,2
Dm,23,11,8,0
showers,23,25,18,21
@-year,7,30,27,1
Bonds,30,29,1,0
set-top,10,0,2,21
enter,23,25,18,3
Corp.,9,26,4,4
SBC,16,20,8,6
generally,23,5,2,21
advanced,11,25,2,26
huge,27,1,7,1
ordering,23,5,18,21
ca,7,5,7,14
spending,12,27,19,1
striking,7,21,24,13
Niugini,6,20,8,23
surge,10,27,27,13
Promodes,16,18,21,18
discussions,22,5,27,21
highlights,0,27,19,30
Jana,31,29,4,24
JYVASKYLA,10,30,0,6
Subaru,14,9,8,18
Kankkunen,23,24,4,20
pace,30,21,6,14
Tyrrell,30,20,8,21
rally,24,27,2,13
event,9,5,27,13
Tottenham,14,20,8,18
Gianluca,24,29,1,20
Arsenal,22,18,8,23
Villa,10,26,29,7
Southampton,16,18,16,19
Bolton,14,20,8,23
Blackpool,9,20,21,23
Chesterfield,8,9,13,17
Rovers,9,18,26,29
Swansea,27,20,8,21
SOUTH,18,19,11,8
Blacks,9,30,14,17
der,24,24,2,11
Partizan,11,20,8,21
Wroclaw,7,18,3,19
Odra,30,20,8,21
BASKETBALL,6,25,27,15
defenders,12,25,24,4
Charleroi,3,9,18,9
MSV,19,7,8,19
kg,13,25,2,1
handling,9,25,28,27
internal,11,0,6,13
Opposition,7,1,28,2
unions,27,23,19,13
running,20,21,7,2
forest,18,16,18,15
arrests,27,21,24,13
accuses,1,16,18,1
stance,11,21,18,30
wo,10,4,18,1
executed,4,1,2,3
MDS,11,20,8,23
independent,9,8,19,2
effort,7,1,6,21
heads,10,25,23,5
Edouard,31,18,3,0
east,27,5,2,1
exact,23,0,7,13
member,13,21,6,13
mandate,8,27,19,30
Corsica,21,14,21,29
ancient,13,5,2,17
lawyer,19,25,7,13
bodies,10,23,2,30
kidnapping,7,5,2,30
throughout,12,25,27,3
crash,12,8,7,13
crashed,19,31,7,5
MADRID,10,14,29,29
Army,18,29,9,4
Internet,13,11,8,7
acting,30,21,2,13
marketing,16,5,19,21
vice,7,25,24,26
feet,12,25,18,13
LAKES,26,26,5,11
Escort,11,9,5,11
Erik,21,23,5,20
GTR,13,9,19,0
Fastest,12,16,2,4
drivers,23,27,7,1
Takeda,16,15,11,28
Fogarty,19,15,4,24
using,10,25,19,11
ONE-DAY,26,16,2,27
Togo,10,14,12,29
Shane,20,23,26,20
equaliser,27,27,18,13
MILAN,31,19,18,16
Fiorentina,19,20,8,19
Norwegian,1,14,8,12
Young,16,24,2,7
Baker,30,15,4,29
Blind,11,24,1,28
choice,16,5,6,1
apartheid,12,25,24,23
decide,5,5,25,27
Doboj,10,18,30,9
refugee,2,21,6,5
Moslems,13,9,20,12
powers,23,0,18,2
Mexican,13,9,8,7
linking,0,27,19,3
supplies,20,25,7,2
speaker,12,21,19,13
role,3,16,19,14
establish,12,25,2,5
ask,11,25,19,13
respect,18,25,7,21
theft,23,22,2,13
vehicle,23,31,2,13
Earlier,12,27,7,31
renewed,24,5,19,21
transition,13,25,18,21
substantial,23,0,19,13
difficulties,23,1,24,13
greatest,6,25,2,10
wait,13,27,2,13
therapy,13,25,2,13
expects,28,5,6,5
Alan,20,23,16,20
Botham,23,15,20,10
BY,22,21,28,5
FRIENDLY,3,5,6,3
swimming,0,21,24,15
Popov,28,24,4,28
Hungarian,20,14,28,0
Leon,31,24,11,22
catch,18,25,2,21
Monica,11,2,26,20
junior,11,0,2,13
Hingis,23,24,20,28
MONDAY,26,25,18,1
Oncins,16,24,1,10
Elena,31,23,27,8
Houston,11,16,13,25
ZIMBABWE,10,14,21,9
Whittall,16,29,4,20
allegations,20,5,27,5
irregularities,16,5,24,5
Election,6,0,4,19
Tass,4,20,8,19
JOSE,3,13,12,16
Defence,19,12,5,4
auctions,9,21,24,1
rail,16,25,27,1
gun,10,5,2,21
resign,27,23,7,13
board,28,23,2,2
blow,27,1,7,5
asylum,3,0,18,5
barrels,18,25,1,2
moisture,20,21,7,26
CALL,12,16,18,30
CONFIRMED,4,27,28,1
Human,6,29,5,30
Supreme,20,20,10,4
epidemic,3,0,24,1
dollars,20,5,1,13
fear,21,27,6,21
corporate,7,5,18,5
Iraqis,13,14,8,20
larger,22,5,6,5
TUESDAY,26,22,6,13
Sandra,31,23,26,8
tests,13,4,7,21
STAGE,12,16,7,30
NETHERLANDS,26,9,5,0
Palmans,9,9,2,23
Postal,9,18,4,29
Neths,21,14,3,9
Cofinec,30,20,4,25
certainly,13,25,18,13
N.J.,21,18,11,8
commander,23,21,23,15
republic,13,5,18,13
oppose,27,16,19,13
college,12,25,7,1
films,11,27,2,13
request,1,25,2,3
bulk,23,25,18,21
Rohrabacher,31,24,4,28
Maoist,6,2,8,0
festival,23,4,27,4
refined,23,16,28,1
advertising,10,0,24,26
Island,27,17,13,11
Sakai,20,30,21,9
inventories,23,27,18,1
Commodities,9,18,5,2
abuses,23,5,18,21
Saskatchewan,26,24,18,19
Heeswijk,16,17,25,10
Telekom,30,20,21,23
individual,13,25,7,5
Collinelli,14,17,5,28
Berlex,30,20,21,18
Sierra,17,19,16,28
dissidents,13,0,15,13
administrative,23,27,2,21
marijuana,3,25,23,3
Amoco,24,7,8,25
Sharif,16,15,4,0
cotton,23,25,19,13
Names,25,2,14,0
bush,0,25,6,4
Kornblum,16,15,17,24
Hamas,19,20,8,18
A-rated,23,16,2,2
Simpson,23,29,17,28
meal,27,21,6,27
Gluten,23,25,25,30
Pro,23,25,19,2
jet,23,25,18,13
kerosene,18,25,7,19
cargoes,10,5,2,13
Only,8,25,6,4
sells,23,4,24,13
atmosphere,23,25,23,26
Daily,9,2,26,4
gain,8,27,24,21
Federal,6,20,18,11
manufacturers,23,25,2,31
Porsche,31,9,26,11
fewer,22,1,27,14
Simitis,16,15,9,10
AMT,26,8,2,13
MLN,9,23,7,13
MATURITY,23,16,2,30
LISTING,23,0,15,13
NO,23,27,18,21
MANAGER,9,5,19,5
replaced,11,21,7,14
politician,23,25,7,1
retain,3,0,2,5
God,23,29,4,20
stand,3,5,2,31
resistance,10,21,1,5
Patriotic,6,29,29,12
shelling,27,0,18,27
interbank,13,0,24,26
changes,23,27,19,27
permission,10,25,18,21
civilian,23,25,2,13
guards,3,1,7,3
touch,22,25,1,21
Rabbani,19,15,4,20
Zhirinovsky,16,2,4,20
maintain,23,25,18,27
papers,8,25,28,30
attend,8,25,7,30
Vladimir,11,2,26,20
rice,10,5,1,1
threats,6,5,18,26
preparing,18,21,19,27
violation,22,21,27,13
CME,9,20,8,18
livestock,23,27,19,13
amount,23,5,18,3
notes,23,27,19,23
Southern,6,11,14,18
Balance,23,31,2,30
Monde,31,30,5,30
dated,27,25,2,3
year-on-year,23,1,2,23
Jan-April,27,21,2,15
raises,19,21,27,31
Agriculture,14,24,18,4
animals,22,23,18,27
concrete,30,21,27,1
holes,20,1,7,2
slight,10,27,1,13
link,10,21,1,21
worldwide,3,25,7,13
lifting,23,21,23,13
Billy,20,2,4,20
Stricker,14,12,25,27
Justin,21,2,1,24
Leonard,31,15,20,24
Duffy,11,2,24,20
Waldorf,16,26,25,28
Willie,11,2,26,20
VALLETTA,18,26,30,16
Henry,31,29,4,20
Sandrine,16,23,1,20
Testud,12,12,22,20
Tauziat,23,29,27,20
HAMLET,31,21,8,20
COMMACK,3,14,12,10
Sergi,11,2,1,20
Bruguera,31,12,31,11
Richey,11,2,1,25
Reneberg,23,15,6,28
Hicham,11,2,1,20
Kenny,24,29,1,24
mutual,20,25,7,13
stayed,13,16,18,2
Fulton,16,26,8,31
Wells,8,15,13,6
Worcester,12,9,21,12
Vaughan,16,12,25,28
I.,11,15,16,24
GLASGOW,18,18,21,10
caps,4,23,1,2
Celtic,14,20,8,18
DAY,13,28,19,11
UNITED,19,13,14,19
Goran,11,29,1,20
Ivanisevic,16,17,20,20
Jiri,11,2,1,20
Carlsen,3,12,22,31
Berasategui,10,12,25,11
Bohdan,11,2,27,20
Ulihrach,16,9,7,31
Henman,16,12,8,11
walkover,3,5,24,21
Tirana,20,30,21,19
penalties,4,27,7,5
Belgrade,4,18,29,19
Moldova,8,14,12,9
Kispest,16,7,8,21
Tomas,11,29,1,8
PUT,10,16,7,1
Ferencvaros,29,18,14,21
Andreas,11,2,27,20
Andersson,23,24,20,28
Juventude,7,20,8,18
Woodforde,11,29,4,28
BADMINTON,9,5,1,1
KUALA,18,30,29,9
LUMPUR,21,27,4,16
Abdul,11,2,1,20
Chen,29,15,11,28
Pete,21,2,4,20
Magnus,20,2,1,25
Mats,11,2,16,24
Bernd,31,23,1,20
Alami,30,15,4,28
Adams,30,29,27,20
Stefano,11,2,1,8
Tarango,23,29,13,24
Palmer,10,17,13,27
ORIOLES,31,20,8,23
JOHNSON,19,29,2,28
Mariners,9,20,14,19
seasons,7,27,24,5
pull,24,16,7,31
Julian,24,24,5,22
Rodriguez,1,24,20,28
Kennedy,31,23,4,22
walks,13,25,18,15
strikeouts,8,21,18,2
homers,12,1,24,11
settled,22,23,19,21
Jimmy,21,23,26,20
Stanley,24,2,4,29
owns,9,1,18,15
span,11,21,6,26
five-run,22,27,7,1
Arthur,15,13,26,16
finals,23,25,7,13
Rolf,21,23,12,28
Euro,17,2,30,31
Squad,13,31,2,13
Goalkeepers,12,21,7,30
records,13,27,2,13
STUTTGART,12,18,30,12
Riley,23,15,17,27
Retief,21,29,1,15
Goosen,3,15,4,28
Field,10,3,10,19
Pyman,16,12,25,11
Carter,12,12,25,27
Jonzon,16,17,8,27
Lomas,23,12,25,7
Armed,9,0,5,2
youth,18,27,19,15
fours,23,16,2,1
replied,23,5,2,2
JOURNAL,9,18,14,4
CONTENTS,4,21,27,1
OJ,0,20,8,18
reverse,11,5,2,5
values,12,25,18,13
END,13,21,28,2
regarding,22,1,28,5
reimbursement,7,1,27,27
related,13,23,7,13
personnel,4,23,19,13
extremely,27,25,18,21
pleased,0,25,6,21
toward,18,5,18,13
quarterly,23,0,27,30
measles,20,16,7,23
Crohn,30,2,1,20
developed,22,1,27,21
Four,27,20,10,11
pain,10,25,2,26
weight,22,25,25,13
Most,12,21,24,13
Industry,30,15,5,4
JUNE,27,31,7,1
MAY,1,21,7,13
below,23,16,23,13
buyers,13,25,2,4
pills,23,0,18,21
benefit,23,25,18,13
College,28,26,5,29
address,13,25,7,13
affect,23,27,27,13
aid,7,23,7,1
Basuki,16,15,20,11
star,27,23,18,5
affair,7,5,7,5
tested,23,27,18,15
Amanda,11,2,1,20
serving,23,22,18,2
pro-soccer,12,5,9,5
Chonnam,14,19,8,19
Pohang,14,9,8,19
Pusan,11,7,8,19
Ulsan,17,24,22,19
Chonbuk,14,29,8,9
search,8,25,2,14
painful,23,5,1,2
disarmament,10,27,25,1
Community,20,26,0,22
crackdown,23,0,1,5
washed,26,5,2,1
Nelson,31,17,16,24
visiting,30,25,28,3
attacked,4,1,23,31
garden,9,25,6,21
becoming,11,25,27,4
INDICATORS,13,31,7,1
CPI,21,21,28,31
NBH,7,29,8,18
schoolgirl,9,1,28,5
document,23,25,19,13
negotiated,11,16,1,30
Tatyana,11,2,27,23
SARAJEVO,18,30,0,9
Sarajevo,12,14,12,19
Deutsche,15,20,17,23
residents,13,25,27,26
raids,4,23,7,3
planes,10,16,24,30
Colombian,13,14,8,0
Pacific,9,26,29,17
fuel,23,25,2,2
hostages,13,4,2,27
regime,10,21,28,26
street,23,16,2,13
hunting,11,5,6,11
nations,28,25,2,5
colony,27,21,18,21
conservative,7,21,6,2
anyone,22,25,24,5
insisted,28,25,6,2
resulted,11,27,7,11
mistakes,7,25,1,21
explain,23,21,19,13
sure,23,25,18,13
aviation,12,5,19,14
Mubarak,16,15,4,20
Front,9,0,5,19
amid,27,0,1,13
lira,12,5,7,13
Miss,20,7,8,4
Angeles,28,15,26,22
returning,10,21,27,13
putting,23,16,7,1
happened,19,27,7,31
routine,7,8,2,13
doctor,3,21,2,5
Massachusetts,7,14,21,9
Announcement,23,27,2,13
Issuer,28,1,28,2
Expected,23,4,5,2
network,13,25,2,13
prosecutor,4,5,19,31
truth,27,1,19,5
spent,10,25,19,26
arrangements,8,25,24,13
secretary-general,12,21,18,1
briefing,13,27,25,27
killers,7,21,6,5
flown,13,0,6,2
Air,19,20,14,6
Cargo,18,26,30,29
DUBLIN,18,30,30,6
read,22,21,7,2
packed,23,16,7,21
schedule,3,0,6,5
threat,23,16,28,21
DELHI,3,7,12,17
Gujral,11,15,4,23
written,13,25,23,15
Conference,17,6,14,17
Geneva,25,16,30,9
impossible,4,21,19,30
Mia,30,15,4,20
arriving,3,21,2,21
murdered,4,27,27,5
reasons,2,25,19,5
governments,23,5,27,1
nationals,20,5,2,13
troubled,27,5,27,1
dozen,22,25,7,26
militant,11,5,7,1
ratio,7,21,1,13
interview,9,21,7,2
increasing,16,25,6,13
stood,23,4,18,13
reduce,12,27,6,1
response,8,25,1,11
BOMBAY,18,30,0,17
love,23,0,6,21
intensive,13,25,2,13
Vatican,21,14,21,9
Missionaries,6,20,8,6
Charity,6,29,5,0
treated,16,31,7,31
Rome,26,30,21,9
award,10,16,24,1
stopped,23,27,18,1
Order,23,20,2,2
Bernard,23,2,16,28
comments,26,5,2,27
Times,28,30,5,29
offset,18,5,18,27
equipment,10,21,6,26
Bangkok,3,16,30,9
parent,7,21,24,1
Parent,27,27,7,31
projects,3,21,2,3
ounce,10,25,2,1
signs,10,5,23,5
definitely,11,5,18,21
replace,12,5,7,31
trades,22,5,15,13
repeatedly,10,23,18,1
Kiev,18,14,3,9
itself,23,27,18,5
strategic,26,1,1,3
partner,0,25,19,5
closer,10,21,19,3
barter,10,0,1,2
Brian,11,23,1,20
Coulthard,28,28,25,27
Heinz-Harald,21,2,1,0
Frentzen,0,24,25,11
Brundle,28,26,25,27
Rubens,9,15,1,20
Barrichello,28,15,25,10
Herbert,28,12,25,31
Panis,0,24,13,27
CORRECTED,27,22,23,1
Gooch,28,24,2,20
Robinson,29,17,2,7
Blakey,16,15,25,7
Middlesbrough,30,9,14,18
inside,11,21,6,15
fun,26,27,18,13
Day,26,13,5,24
Americans,14,13,9,18
missed,12,5,18,31
bed,23,25,7,3
check,10,27,18,13
speculation,23,16,2,13
wing,10,27,7,21
Championships,31,9,26,24
FRIDAY,12,5,7,1
Edgar,20,23,26,20
starter,4,8,6,31
getting,12,25,28,21
Fernandez,16,17,25,27
Luis,11,15,27,24
rivals,9,4,27,13
Portuguese,14,14,8,0
thanks,8,16,7,1
BREAKS,10,16,23,1
Warner,31,24,8,28
Mutola,16,24,1,29
bonus,10,28,2,13
historic,3,27,7,1
plus,26,25,2,5
Mozambique,10,14,21,12
Ames,11,15,25,18
Chapman,12,12,2,10
Barry,20,23,16,24
Bailey,23,29,1,28
Kingdom,3,3,13,10
faster,8,16,2,2
Natalya,11,23,1,20
Allen,31,15,4,20
Ezinwa,10,26,10,6
Jon,11,2,27,20
Laurent,24,29,24,15
Natalia,24,29,12,8
Juergen,20,23,1,24
Markov,12,9,25,28
Francis,24,29,16,8
Rui,24,2,1,20
KEEPS,12,5,18,4
Zabrze,18,10,3,29
Jens,31,23,1,24
Oliver,24,2,1,20
Helmer,23,24,1,28
AUSTRALIA,12,14,21,9
cleared,1,16,7,5
controversial,13,27,27,21
excellent,14,25,6,31
Healy,30,24,17,20
ANGOLA,6,30,30,29
Angolan,13,21,8,31
TUE,22,21,24,26
THU,22,25,7,1
falls,2,23,28,21
developments,5,5,1,5
long-term,0,5,1,13
MIAMI,21,9,30,17
assessment,10,16,7,21
SEA,3,22,14,16
IOC,3,20,21,25
Sea,5,22,14,27
Akron,20,9,22,25
worst,10,23,27,21
application,22,21,18,5
Arabs,14,19,21,0
founded,27,21,15,13
stadium,3,1,18,31
LAGOS,12,14,12,7
Agency,6,0,4,29
destroyed,10,25,2,21
perpetrators,23,25,18,21
fled,11,27,18,27
Kohl,23,24,11,24
materials,1,25,6,1
base,23,16,2,1
